Anime Title,entry_id,entry_type,english_name,japanese_name,tmdb_id,anilist_id,Avg. Words/Episode,Unique Words,Kanji Difficulty (1-100),Vocab Difficulty (1-100),Overall Difficulty (1-100),Vocab Density (%),poster_url,episodes,status,genres,start_year,average_score,anilist_img_filename,anilist_status,tmdb_img_filename
Gintama.. Shirogane no Tamashii-hen - Kouhan-sen,5749.0,anime_tv,Gintama.: Silver Soul Arc - Second Half War,銀魂. 銀ノ魂篇2,,101925.0,507,2587,34.9,21.2,28.0,6.56,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101925-gcA84dgcSj2w.png,14.0,FINISHED,"Action, Comedy, Drama, Sci-Fi",2018.0,87.0,bx101925-gcA84dgcSj2w.png,downloaded,
Future Card Buddyfight,1533.0,anime_tv,Future Card Buddyfight,フューチャーカード バディファイト,,19067.0,493,4272,35.2,18.8,27.0,5.89,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx19067-GBM3HNaSYAgG.jpg,64.0,FINISHED,"Action, Sci-Fi",2014.0,62.0,bx19067-GBM3HNaSYAgG.jpg,downloaded,
Bura Tamori,7589.0,drama_tv,Bura Tamori,ブラタモリ,tv:106411,,607,331,35.3,20.1,27.7,6.26,https://image.tmdb.org/t/p/w500/mrETySjFspTfXiKqVXIY944bYK8.jpg,341.0,RELEASING,"Documentary, Talk",2009.0,,,not_anilist,mrETySjFspTfXiKqVXIY944bYK8.jpg
Youkai Watch Shadowside,,,,,,,508,3824,29.0,19.2,24.1,5.99,,,,,,,,not_anilist,
Dekisokonai to Yobareta Moto Eiyuu,,,,,,,491,726,35.4,21.7,28.5,6.72,,,,,,,,not_anilist,
Nidaime wa Christian,10903.0,drama_movie,The Second Is a Christian,二代目はクリスチャン,movie:393091,,2199,927,26.5,22.7,24.6,7.0,https://image.tmdb.org/t/p/w500/3qcpJnSUjKCSxhGxebHelPopDYe.jpg,1.0,FINISHED,"Comedy, Crime",1985.0,50.0,,not_anilist,3qcpJnSUjKCSxhGxebHelPopDYe.jpg
Tensei Shitara Slime Datta Ken. Guren no Kizuna-hen,3597.0,anime_movie,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,劇場版 転生したらスライムだった件 紅蓮の絆編,,139498.0,1766,1013,25.9,22.5,24.2,6.97,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx139498-DdVASeAj7ag4.jpg,1.0,FINISHED,"Action, Adventure, Comedy, Fantasy",2022.0,77.0,bx139498-DdVASeAj7ag4.jpg,downloaded,
Usohappyaku,8982.0,drama_movie,We Make Antiques!,嘘八百,movie:511977,,1910,730,27.2,22.0,24.6,6.81,https://image.tmdb.org/t/p/w500/cO9xkfG5GwNwDQevRoEl8C2oNaX.jpg,1.0,FINISHED,"Comedy, Crime",2018.0,,,not_anilist,cO9xkfG5GwNwDQevRoEl8C2oNaX.jpg
Nintama Rantarou,9124.0,drama_movie,Ninja Kids!!!,忍たま乱太郎,movie:95576,,1450,678,30.3,21.6,25.9,6.69,https://image.tmdb.org/t/p/w500/wKn7MYf8e0UKtDa7FQgVJFSeEZ6.jpg,1.0,FINISHED,"Action, Drama, Family",2011.0,,,not_anilist,wKn7MYf8e0UKtDa7FQgVJFSeEZ6.jpg
Youkai Hunter. Hiruko,10859.0,drama_movie,Hiruko the Goblin,ヒルコ／妖怪ハンター,movie:38405,,768,339,31.2,25.4,28.3,7.81,https://image.tmdb.org/t/p/w500/6LKKFG3vVq1isjKMnBejwybErf1.jpg,1.0,FINISHED,"Horror, Fantasy, Comedy",1991.0,,,not_anilist,6LKKFG3vVq1isjKMnBejwybErf1.jpg
Nagareboshi Ogin. Jiken Kaiketsuitashimasu,10618.0,drama_tv,,流れ星お銀!事件解決いたします,tv:238223,,2255,1868,41.6,24.8,33.2,7.63,NO POSTER,1.0,RELEASING,,2000.0,,,not_anilist,
Takane no Hana,4217.0,drama_tv,Born to be a Flower,高嶺の花,tv:81446,,951,2330,31.5,26.2,28.8,8.02,https://image.tmdb.org/t/p/w500/k6qzJdfvdqjgXhNA9Wq3TrTNf66.jpg,10.0,FINISHED,Drama,2018.0,,,not_anilist,k6qzJdfvdqjgXhNA9Wq3TrTNf66.jpg
Nisemonogatari,541.0,anime_tv,Nisemonogatari,偽物語,,11597.0,808,2529,42.2,23.4,32.8,7.21,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11597-x2vd4KSHcI1S.jpg,11.0,FINISHED,"Comedy, Drama, Ecchi, Mystery, Psychological, Supernatural",2012.0,79.0,bx11597-x2vd4KSHcI1S.jpg,downloaded,
Ranma 1∕2 (2024) 2nd Season,10516.0,anime_tv,Ranma1/2 (2024) Season 2,らんま1/2 (2024) 第2期,,185731.0,431,995,18.9,25.4,22.2,7.82,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185731-PJ6WKcFDUI4B.jpg,,RELEASING,"Action, Comedy, Romance",2025.0,77.0,bx185731-PJ6WKcFDUI4B.jpg,downloaded,
The Star of Cottonland,,,,,,,1422,611,22.5,17.0,19.8,5.34,,,,,,,,not_anilist,
Tate no Yuusha no Nariagari S2,,,,,,,480,1980,30.0,19.7,24.8,6.13,,,,,,,,not_anilist,
Soredemo Sekai wa Utsukushii,,,,,,,502,2043,31.8,23.4,27.6,7.23,,,,,,,,not_anilist,
Uchuu Senkan Tiramisu,,,,,,,242,1468,41.4,25.0,33.2,8.04,,,,,,,,not_anilist,
Matsumoto Seichou. Jiko,7314.0,drama_movie,,松本清張シリーズ・事故,,,1296,578,41.2,24.0,32.6,7.41,,,,,,,,not_anilist,
"Yasuko, Songs of Days Past",9703.0,drama_movie,"Yasuko, Songs of Days Past",ゆきてかへらぬ,movie:1309057,,1402,673,26.0,27.0,26.5,8.27,https://image.tmdb.org/t/p/w500/wOzsVbaK2475wjXXhs8AHmFl2Zi.jpg,1.0,FINISHED,"Romance, Drama",2025.0,,,not_anilist,wOzsVbaK2475wjXXhs8AHmFl2Zi.jpg
Satsujin Keikaku Kanryou,8769.0,drama_movie,Murder Plan Completed,殺人計画完了,movie:1337348,,1182,588,34.6,27.9,31.3,8.54,https://image.tmdb.org/t/p/w500/rtg2N4L6LIfsGY9IIdMoUvdBngd.jpg,1.0,FINISHED,,1956.0,,,not_anilist,rtg2N4L6LIfsGY9IIdMoUvdBngd.jpg
Versailles no Bara Movie,9564.0,anime_movie,The Rose of Versailles,劇場版 ベルサイユのばら,,154392.0,2070,1001,34.9,23.8,29.4,7.34,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154392-I35rrWRu9KlY.jpg,1.0,FINISHED,"Adventure, Drama, Romance",2025.0,61.0,bx154392-I35rrWRu9KlY.jpg,downloaded,
Hakuchuu no Buraikan,9239.0,drama_movie,Greed in Broad Daylight,白昼の無頼漢,movie:471614,,948,488,36.9,28.7,32.8,8.76,https://image.tmdb.org/t/p/w500/dPsCFgRDAgvDb8ToR7ASfBeRkPE.jpg,1.0,FINISHED,"Drama, Crime",1961.0,70.0,,not_anilist,dPsCFgRDAgvDb8ToR7ASfBeRkPE.jpg
Samurai Tantei Jikenbo,10225.0,drama_tv,Samurai Tantei Jikenbo,さむらい探偵事件簿,tv:155281,,994,2709,37.0,29.2,33.1,8.92,https://image.tmdb.org/t/p/w500/cQ8rQ9ZWlLr1JZrhCG4VhQs87ww.jpg,1.0,RELEASING,,1996.0,,,not_anilist,cQ8rQ9ZWlLr1JZrhCG4VhQs87ww.jpg
Ookami to Koushinryou II,11.0,anime_tv,Spice and Wolf II,狼と香辛料II,,5341.0,703,2591,38.6,27.3,33.0,8.37,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5341-gyp5OZ1NYPxi.jpg,12.0,FINISHED,"Adventure, Fantasy, Romance, Slice of Life",2009.0,81.0,bx5341-gyp5OZ1NYPxi.jpg,downloaded,
Battle Spirits Sword Eyes Gekitouden,,,,,,,430,2181,35.7,27.4,31.6,8.4,,,,,,,,not_anilist,
Shin Jingi Naki Tatakai,6665.0,drama_movie,Another Battle,新・仁義なき戦い。,movie:312401,,1407,687,31.4,31.8,31.6,9.67,https://image.tmdb.org/t/p/w500/2TBxKwIaJD5Qv7RmkgtjZ0OA1qE.jpg,1.0,FINISHED,"Drama, Action, Crime",2000.0,,,not_anilist,2TBxKwIaJD5Qv7RmkgtjZ0OA1qE.jpg
Mermaid Bound,6559.0,drama_movie,Mermaid Bound,,movie:749605,,1227,572,32.8,31.4,32.1,9.54,https://image.tmdb.org/t/p/w500/kv13qNHPPrA0sEgy4jas4VWdhGp.jpg,1.0,FINISHED,,2020.0,90.0,,not_anilist,kv13qNHPPrA0sEgy4jas4VWdhGp.jpg
Gokudou,8639.0,drama_movie,Scoundrel,極道,movie:898705,,2036,859,34.3,31.8,33.1,9.68,https://image.tmdb.org/t/p/w500/2ORPVsUSvncNoUirVv2bBU3fBcD.jpg,1.0,FINISHED,"Crime, Drama",1968.0,60.0,,not_anilist,2ORPVsUSvncNoUirVv2bBU3fBcD.jpg
Aoki Ookami. Narukichiomoase no Shougai,10418.0,drama_tv,,蒼き狼 成吉思汗の生涯,tv:301480,,858,1337,37.9,29.1,33.5,8.89,NO POSTER,1.0,RELEASING,,1980.0,,,not_anilist,
DIABOLIK LOVERS,562.0,anime_tv,Diabolik Lovers,DIABOLIK LOVERS,,17513.0,211,900,30.9,32.5,31.7,9.87,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx17513-gfqhEF7XYYvm.jpg,12.0,FINISHED,"Drama, Horror, Romance, Supernatural",2013.0,45.0,bx17513-gfqhEF7XYYvm.jpg,downloaded,
Romance of the Three Kingdoms,,,,,,,434,2599,39.3,31.4,35.3,9.54,,,,,,,,not_anilist,
